,name,War,Film-Noir,Sci-Fi,History,Music,Musical,Fantasy,Thriller,Romance,Horror,Mystery,Family,Animation,Comedy,Drama,Biography,Adventure,Action,Crime,Western,Sport,Films,Produced
1876,Sophie Marceau,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,75600000
1877,Mel Gibson,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,2,1,0,0,3,153272498
1878,Jim Varney,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,191796233
1879,Don Rickles,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,191796233
1880,Tim Allen,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,4,1286691300
1881,Nafise Jafar-Mohammadi,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,933933
1882,Bahare Seddiqi,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,933933
1883,Amir Farrokh Hashemian,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,933933
1884,Mohammad Amir Naji,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,933933
1885,Stellan Skarsgård,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,1,0,0,3,244989919
1886,Ben Affleck,0,0,0,0,0,0,0,2,1,0,1,0,0,0,3,1,0,0,0,0,0,3,442226127
1887,Robin Williams,0,0,0,0,0,0,0,0,1,0,0,0,1,2,3,1,1,0,0,0,0,4,503740245
1888,Wes Bentley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,130096601
1889,Thora Birch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,130096601
1890,Annette Bening,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,130096601
1891,Marlon Wayans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3635482
1892,Jennifer Connelly,0,0,1,0,0,0,0,2,0,0,1,0,0,0,4,2,1,1,0,0,0,5,264462467
1893,Jared Leto,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,1,0,1,1,0,0,4,55083435
1894,Ellen Burstyn,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,236541627
1895,Dennis Farina,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,30328156
1896,Benicio Del Toro,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,1,1,3,0,0,4,104188200
1897,Jason Statham,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,2,34225725
1898,Lorella Cravotta,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,33225499
1899,Rufus,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,33225499
1900,Mathieu Kassovitz,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,33225499
1901,Audrey Tautou,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,2,39393316
1902,Gerry Robert Byrne,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,34400301
1903,Tom Wilkinson,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,77583077
1904,Kate Winslet,0,0,1,0,0,0,0,0,3,0,0,1,0,0,5,1,0,0,0,0,0,5,793003604
1905,Jim Carrey,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,2,160018502
1906,Mélanie Laurent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,120540719
1907,Eli Roth,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,120540719
1908,Diane Kruger,1,0,0,1,1,0,1,0,1,0,0,0,0,0,3,0,1,0,0,0,0,3,121595116
1909,Ege Tanman,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
1910,Hümeyra,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
1911,Fikret Kuskan,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
1912,Celile Toyon Uysal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1913,Deniz Baysal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1914,Nisa Sofiya Aksongur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1915,Aras Bulut Iynemli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1916,Mustafa Kamel,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,6857096
1917,Maxim Gaudette,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,6857096
1918,Mélissa Désormeaux-Poulin,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,6857096
1919,Lubna Azabal,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,6857096
1920,Shahab Hosseini,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,3,9607221
1921,Sareh Bayat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7098492
1922,Leila Hatami,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7098492
1923,Payman Maadi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7098492
1924,Lasse Fogelstrøm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,687185
1925,Annika Wedderkopp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,687185
1926,Thomas Bo Larsen,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,3,2334965
1927,Mads Mikkelsen,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,1,0,0,4,1101034
1928,Ansiba,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1929,Asha Sharath,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1930,Meena,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1931,Mohanlal,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1932,Anil Dhawan,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1373943
1933,Radhika Apte,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1373943
1934,Tabu,0,0,0,0,1,0,1,0,0,0,1,0,0,1,4,0,1,2,4,0,0,5,127190605
1935,Ayushmann Khurrana,0,0,0,0,1,0,0,0,1,0,0,0,0,2,2,0,0,0,1,0,0,3,1543152
1936,Jyoti Malshe,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1937,Sohum Shah,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,1,0,0,2,34237
1938,Adesh Prasad,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1939,Anand Gandhi,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1940,Colin Firth,1,0,0,1,0,0,0,1,0,0,0,0,0,1,2,1,1,1,0,0,0,3,426286817
1941,Daniel Mays,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,159227644
1942,George MacKay,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,2,165102650
1943,Dean-Charles Chapman,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,159227644
1944,Ramesh Deo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1945,Sumita Sanyal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1946,Amitabh Bachchan,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,0,1,1,0,0,0,4,1974317
1947,Rajesh Khanna,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1948,Veronica Cartwright,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,78900000
1949,John Hurt,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,1,1,0,0,0,0,3,78900000
1950,Tom Skerritt,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,78900000
1951,Sigourney Weaver,0,0,2,0,0,0,2,0,0,1,0,0,0,1,0,0,2,3,0,0,0,4,1163199997
1952,Frederic Forrest,1,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,2,87891511
1953,Martin Sheen,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,1,2,0,0,3,248086862
1954,Scatman Crothers,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,44017374
1955,Danny Lloyd,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,44017374
1956,Shelley Duvall,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,44017374
1957,John Rhys-Davies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,248159971
1958,Paul Freeman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,248159971
1959,Karen Allen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,248159971
1960,Treat Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,5321508
